year,month,client_code,client_name,channel,sku,product_name,category,units_sold
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-SK-CLN-03,Purifying Cleanser 200ml,Skincare,450
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-SK-HYD-02,Daily Hydration Cream 50ml,Skincare,600
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-SK-EXF-09,Gentle AHA/BHA Exfoliating Toner 100ml,Skincare,250
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-SK-EYE-08,Revitalizing Eye Contour Cream 15ml,Skincare,180
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-SU-FAC-04,Invisible Face Sunscreen SPF50 50ml,Suncare,200
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-SU-BOD-05,Protective Body Lotion SPF30 200ml,Suncare,120
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-NU-VIT-07,Daily Glow Vitamin C Powder 150g,Nutrition,500
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-NU-GRE-10,Daily Supergreens & Gut Health Powder 250g,Nutrition,350
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-NU-SLE-11,Nighttime Beauty Sleep Elixir 200g,Nutrition,120
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-SK-SER-01,Anti-Aging Serum 50ml,Skincare,0
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-SK-SER-02,Hydration Serum 50ml,Skincare,0
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-SK-SER-03,Vitamin C Serum 50ml,Skincare,0
2025,1,1001,Premier Supermarkets UK,Grocery / Supermarket,BL-NU-COL-06,Marine Collagen Peptides Powder 300g,Nutrition,0
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-SK-CLN-03,Purifying Cleanser 200ml,Skincare,300
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-SK-HYD-02,Daily Hydration Cream 50ml,Skincare,400
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-SK-EXF-09,Gentle AHA/BHA Exfoliating Toner 100ml,Skincare,200
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-SK-EYE-08,Revitalizing Eye Contour Cream 15ml,Skincare,150
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-SK-SER-01,Anti-Aging Serum 50ml,Skincare,240
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-SK-SER-02,Hydration Serum 50ml,Skincare,320
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-SK-SER-03,Vitamin C Serum 50ml,Skincare,380
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-SU-FAC-04,Invisible Face Sunscreen SPF50 50ml,Suncare,100
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-SU-BOD-05,Protective Body Lotion SPF30 200ml,Suncare,60
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-NU-COL-06,Marine Collagen Peptides Powder 300g,Nutrition,140
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-NU-VIT-07,Daily Glow Vitamin C Powder 150g,Nutrition,140
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-NU-GRE-10,Daily Supergreens & Gut Health Powder 250g,Nutrition,80
2025,1,1002,Chemist & Beauty Direct,Health & Beauty Specialist,BL-NU-SLE-11,Nighttime Beauty Sleep Elixir 200g,Nutrition,120
2025,1,1003,St. James & Co. Retail,Department Stores,BL-SK-CLN-03,Purifying Cleanser 200ml,Skincare,140
